"NUM_CNPJ,""ID_CIDADE"",""ID_CNAE"",""ORIGEM"""
"30661536000119,7067,1094,""SPC"""
"22963430000141,5798,1016,""SPC"""
"33587765000129,7994,1239,""CONCORRENTE"""
"41752064000126,8543,,""SPC"""
"24199837000170,6015,1028,""CONCORRENTE"""
"31215226000133,7102,1109,""CONCORRENTE"""
"10440372000192,2065,559,""CONCORRENTE"""
"10658569000100,2085,583,""SPC"""
"30494012000180,7043,1094,""SPC"""
"11929578000143,2252,598,""CONCORRENTE"""
"24893616000105,6173,1028,""CONCORRENTE"""
"34315108000195,8124,1263,""CONCORRENTE"""
"25233006000130,6268,1028,""SPC"""
"23909983000189,6015,1027,""SPC"""
"28891021000163,7043,1054,""CONCORRENTE"""
"982813000124,172,160,""CONCORRENTE"""
"22629944000165,5571,1006,""SPC"""
"27262757000100,6962,1049,""CONCORRENTE"""
"4117017000184,988,178,""SPC"""
"17892983000110,4000,839,""CONCORRENTE"""
"21303301000164,4964,933,""CONCORRENTE"""
"34444326000120,8171,1263,""CONCORRENTE"""
"28488213000123,7042,1050,""SPC"""
"19229339000192,4263,846,""CONCORRENTE"""
"13752186000187,2754,673,""SPC"""
"22129660000100,5331,950,""SPC"""
"35921966000146,8507,1354,""SPC"""
"18719261000121,4141,844,""SPC"""
"35650962000170,8428,1303,""CONCORRENTE"""
"25913786000169,6472,1028,""SPC"""
"33910709000183,7994,1258,""SPC"""
"3845098000176,988,167,""SPC"""
"15733492000100,3327,833,""CONCORRENTE"""
"5137526000131,1078,178,""CONCORRENTE"""
"26578893000140,6865,1047,""SPC"""
"41273020000113,8525,,""CONCORRENTE"""
"29332742000104,7043,1072,""SPC"""
"22764364000180,5721,1009,""SPC"""
"10858655000159,2174,586,""SPC"""
"15747360000129,3332,833,""SPC"""
"35670051000105,8452,1306,""CONCORRENTE"""
"23661472000190,6015,1025,""SPC"""
"34175511000166,8079,1262,""SPC"""
"31883123000141,7335,1136,""CONCORRENTE"""
"3476550000170,815,165,""SPC"""
"20546298000147,4651,861,""CONCORRENTE"""
"21914869000111,5271,939,""CONCORRENTE"""
"32405204000107,7554,1156,""SPC"""
"10532714000102,2069,575,""SPC"""
"27679812000161,6989,1049,""CONCORRENTE"""
"32469248000192,7566,1156,""CONCORRENTE"""
"33371254000175,7965,1211,""CONCORRENTE"""
"22785603000189,5721,1009,""SPC"""
"33273331000154,7918,1201,""CONCORRENTE"""
"14470988000167,2762,748,""CONCORRENTE"""
"9269005000199,2028,408,""SPC"""
"29443578000102,7043,1074,""SPC"""
"9361565000179,2044,481,""CONCORRENTE"""
"30218147000113,7043,1091,""SPC"""
"27084846000103,6912,1047,""SPC"""
"17894101000156,4006,839,""SPC"""
"27872490000172,6993,1049,""SPC"""
"20943272000132,4774,882,""CONCORRENTE"""
"20280678000182,4565,860,""CONCORRENTE"""
"16928647000118,3549,833,""CONCORRENTE"""
"13085818000104,2621,655,""CONCORRENTE"""
"17004707000179,3619,833,""SPC"""
"44499606000199,8562,,""CONCORRENTE"""
"17262340000193,3677,833,""SPC"""
"14560266000101,2885,749,""CONCORRENTE"""
"33629843000100,7994,1256,""SPC"""
"83708354000112,8819,,""SPC"""
"33496306000130,7965,1213,""SPC"""
"21848688000134,5214,939,""CONCORRENTE"""
"12096945000138,2336,602,""CONCORRENTE"""
"19439963000114,4347,848,""CONCORRENTE"""
"29160768000104,7043,1058,""CONCORRENTE"""
"19653297000112,4399,852,""SPC"""
"9286065000110,2037,477,""SPC"""
"21801182000170,5158,939,""SPC"""
"24216708000142,6015,1028,""CONCORRENTE"""
"33577277000130,7994,1225,""SPC"""
"10483282000189,2065,567,""SPC"""
"24444485000170,6090,1028,""CONCORRENTE"""
"32080769000153,7396,1147,""SPC"""
"25208430000124,6268,1028,""CONCORRENTE"""
"29261307000128,7043,1070,""SPC"""
"40915761000198,8521,,""SPC"""
"4462178000105,988,178,""SPC"""
"30947213000196,7067,1099,""SPC"""
"8208367000107,1778,376,""SPC"""
"22986360000147,5804,1016,""CONCORRENTE"""
"17383096000117,3749,833,""SPC"""
"18707928000176,4141,843,""SPC"""
"25039209000190,6254,1028,""SPC"""
"32441311000182,7566,1156,""CONCORRENTE"""
"10481653000193,2065,565,""CONCORRENTE"""
"5529937000172,1156,178,""CONCORRENTE"""
"29915526000183,7043,1080,""SPC"""
"30483941000194,7043,1094,""SPC"""
"4903655000120,999,178,""SPC"""
"11623488000120,2174,589,""SPC"""
"4493218000186,988,178,""SPC"""
"11301703000176,2174,586,""CONCORRENTE"""
"2556564000130,582,162,""CONCORRENTE"""
"32721704000140,7697,1156,""SPC"""
"2928976000154,683,162,""SPC"""
"7715040000169,1778,361,""CONCORRENTE"""
"4248750000138,988,178,""SPC"""
